DATE,TAVG
1871-01-01,-2.5
1872-01-01,0.0
1873-01-01,-0.3999999999999986
1874-01-01,0.3999999999999986
1875-01-01,-1.8999999999999986
1876-01-01,2.5
1877-01-01,0.8999999999999986
1878-01-01,0.8000000000000043
1879-01-01,-1.5
1880-01-01,0.7999999999999972
1881-01-01,-0.6999999999999957
1882-01-01,-0.5
1883-01-01,-1.5
1884-01-01,2.0
1885-01-01,-1.6000000000000014
1886-01-01,0.6999999999999957
1887-01-01,-0.3999999999999986
1888-01-01,-1.5
1889-01-01,3.3999999999999986
1890-01-01,0.20000000000000284
1891-01-01,1.1000000000000014
1892-01-01,-1.8999999999999986
1893-01-01,-1.5
1894-01-01,2.1999999999999957
1895-01-01,0.10000000000000142
1896-01-01,0.6000000000000014
1897-01-01,0.0
1898-01-01,1.5
1899-01-01,-1.2000000000000028
1900-01-01,0.30000000000000426
1901-01-01,-1.8000000000000043
1902-01-01,0.6000000000000014
1903-01-01,0.0
1904-01-01,-2.1000000000000014
1905-01-01,2.5
1906-01-01,1.6000000000000014
1907-01-01,-2.1000000000000014
1908-01-01,2.1000000000000014
1909-01-01,-1.2999999999999972
1910-01-01,-0.20000000000000284
1911-01-01,-0.10000000000000142
1912-01-01,-0.6999999999999957
1913-01-01,2.1999999999999957
1914-01-01,-3.0
1915-01-01,1.5
1916-01-01,-1.1999999999999957
1917-01-01,-1.5
1918-01-01,2.3999999999999986
1919-01-01,0.6999999999999957
1920-01-01,-1.5999999999999943
1921-01-01,2.5999999999999943
1922-01-01,-1.2999999999999972
1923-01-01,-0.7000000000000028
1924-01-01,-0.8999999999999986
1925-01-01,1.5
1926-01-01,-2.1999999999999957
1927-01-01,2.1999999999999957
1928-01-01,0.10000000000000142
1929-01-01,0.6000000000000014
1930-01-01,0.3999999999999986
1931-01-01,1.2999999999999972
1932-01-01,-0.6999999999999957
1933-01-01,-0.8999999999999986
1934-01-01,-1.3000000000000043
1935-01-01,0.10000000000000142
1936-01-01,0.3999999999999986
1937-01-01,1.0
1938-01-01,0.8000000000000043
1939-01-01,-0.6000000000000014
1940-01-01,-2.700000000000003
1941-01-01,3.0
1942-01-01,-0.8999999999999986
1943-01-01,-0.29999999999999716
1944-01-01,0.8999999999999986
1945-01-01,-0.5
1946-01-01,1.1999999999999957
1947-01-01,-1.5999999999999943
1948-01-01,0.29999999999999716
1949-01-01,2.8999999999999986
1950-01-01,-3.299999999999997
1951-01-01,1.2999999999999972
1952-01-01,0.8999999999999986
1953-01-01,1.2000000000000028
1954-01-01,-2.1000000000000014
1955-01-01,-0.29999999999999716
1956-01-01,-1.1000000000000014
1957-01-01,1.8999999999999986
1958-01-01,-2.8999999999999986
1959-01-01,2.8999999999999986
1960-01-01,-1.3999999999999986
1961-01-01,1.0
1962-01-01,-1.6000000000000014
1963-01-01,0.10000000000000142
1964-01-01,1.0
1965-01-01,-0.29999999999999716
1966-01-01,0.7999999999999972
1967-01-01,-2.1000000000000014
1968-01-01,1.1000000000000014
1969-01-01,0.7999999999999972
1970-01-01,-0.5999999999999943
1971-01-01,1.0
1972-01-01,-1.4000000000000057
1973-01-01,2.200000000000003
1974-01-01,-1.2999999999999972
1975-01-01,0.19999999999999574
1976-01-01,-1.6000000000000014
1977-01-01,1.0
1978-01-01,-1.3999999999999986
1979-01-01,2.8000000000000043
1980-01-01,-0.8000000000000043
1981-01-01,0.30000000000000426
1982-01-01,-0.4000000000000057
1983-01-01,1.2000000000000028
1984-01-01,-0.6000000000000014
1985-01-01,0.10000000000000142
1986-01-01,-0.29999999999999716
1987-01-01,-0.10000000000000142
1988-01-01,-0.30000000000000426
1989-01-01,-0.8999999999999986
1990-01-01,3.3000000000000043
1991-01-01,0.0
1992-01-01,-3.3000000000000043
1993-01-01,1.6000000000000014
1994-01-01,-0.29999999999999716
1995-01-01,0.09999999999999432
1996-01-01,-1.5999999999999943
1997-01-01,0.5999999999999943
1998-01-01,2.8000000000000043
1999-01-01,-0.6000000000000014
2000-01-01,-2.700000000000003
2001-01-01,2.4000000000000057
2002-01-01,0.19999999999999574
2003-01-01,-3.0
2004-01-01,1.1000000000000014
2005-01-01,1.2000000000000028
2006-01-01,1.0999999999999943
2007-01-01,-1.7999999999999972
2008-01-01,0.29999999999999716
2009-01-01,-1.2999999999999972
2010-01-01,2.700000000000003
2011-01-01,-0.30000000000000426
2012-01-01,0.8999999999999986
2013-01-01,-2.0
2014-01-01,-0.8999999999999986
2015-01-01,2.3000000000000043
2016-01-01,0.5
